id;lawyer_name;address;contact_number;specialization;email;registration_number;created_at;updated_at
1;first;minor mob duh;fooey;when;Lloyd_Herzog82@gmail.com;supposing;2025-01-30T11:35:42;2025-01-30T08:29:40
2;modulo;happily um;alienated blah unaccountably;and eventually gah;Colton_Cole34@hotmail.com;furthermore understanding;2025-01-30T12:20:43;2025-01-29T23:33:35
3;gallery;bah patroller deed;up rise;whereas happily;Erling57@yahoo.com;acquire like complicated;2025-01-29T22:32:10;2025-01-30T07:09:27
4;hmph capitalize now;switch usually gosh;inasmuch whack splay;edge;Celia21@yahoo.com;abacus doting nor;2025-01-30T18:06:40;2025-01-30T09:29:35
5;lest miserably transom;ack gee;swerve;severe royal;Delores71@hotmail.com;lest;2025-01-30T08:15:30;2025-01-30T16:00:50
6;furthermore;merge;barring;digitize;Arthur.Schmeler3@gmail.com;yet insert avow;2025-01-30T19:16:17;2025-01-30T15:19:13
7;beside reproachfully beyond;except;victoriously unused;morning mosh;Erich24@gmail.com;consequently whoa;2025-01-30T07:19:17;2025-01-30T15:01:12
8;realistic aha;ape over though;because geez past;helpfully plus;Friedrich_Price88@yahoo.com;solicit premium that;2025-01-29T22:18:15;2025-01-30T02:35:41
9;distorted mount;boohoo milestone;nor lively;which questionably;Gardner_Bernier30@gmail.com;ah drat;2025-01-30T07:44:38;2025-01-30T19:37:31
10;noted curse;aside cinch when;facilitate;though yuck vet;Lucile.Nikolaus-Stiedemann92@yahoo.com;amid;2025-01-30T01:25:46;2025-01-30T13:09:24
